NAME,Year,pubservsat
West Dunbartonshire,2016,52
West Dunbartonshire,2017,39
West Dunbartonshire,2018,35
West Lothian,2012,55
West Lothian,2013,55
West Lothian,2014,69
West Lothian,2015,62
West Lothian,2016,69
West Lothian,2017,57
West Lothian,2018,53
