"NAME","Year","Value"
"Scottish Borders","2013",37141
"Shetland Islands","2013",37103
"South Ayrshire","2013",42373
"South Lanarkshire","2013",43230
"Stirling","2013",34882
"West Dunbartonshire","2013",51310
"West Lothian","2013",41694
"Scotland","2014",50163
"Aberdeen City","2014",126709
"Aberdeenshire","2014",83608
"Angus","2014",38146
"Argyll and Bute","2014",37849
"City of Edinburgh","2014",40412
"Clackmannanshire","2014",46671
"Dumfries and Galloway","2014",41360
"Dundee City","2014",31457
"East Ayrshire","2014",39344
"East Dunbartonshire","2014",35110
"East Lothian","2014",37762
"East Renfrewshire","2014",30538
"Falkirk","2014",43685
"Fife","2014",43001
"Glasgow City","2014",41634
"Highland","2014",35271
"Inverclyde","2014",43378
"Midlothian","2014",34487
"Moray","2014",35955
"Na h-Eileanan Siar","2014",40224
"North Ayrshire","2014",43375
"North Lanarkshire","2014",50480
"Orkney Islands","2014",32884
"Perth and Kinross","2014",47136
"Renfrewshire","2014",41145
"Scottish Borders","2014",35584
"Shetland Islands","2014",38643
"South Ayrshire","2014",43239
"South Lanarkshire","2014",40284
"Stirling","2014",31477
"West Dunbartonshire","2014",48637
"West Lothian","2014",41631
"Scotland","2015",48173
"Aberdeen City","2015",99149
"Aberdeenshire","2015",72515
"Angus","2015",41610
"Argyll and Bute","2015",37288
"City of Edinburgh","2015",45966
"Clackmannanshire","2015",48460
"Dumfries and Galloway","2015",36317
"Dundee City","2015",35977
"East Ayrshire","2015",35330
"East Dunbartonshire","2015",36324
"East Lothian","2015",42006
"East Renfrewshire","2015",33153
"Falkirk","2015",42671
"Fife","2015",43409
"Glasgow City","2015",39909
"Highland","2015",35237
"Inverclyde","2015",42698
"Midlothian","2015",40505
"Moray","2015",41025
"Na h-Eileanan Siar","2015",33493
"North Ayrshire","2015",44348
"North Lanarkshire","2015",49561
"Orkney Islands","2015",30705
"Perth and Kinross","2015",48435
"Renfrewshire","2015",43638
"Scottish Borders","2015",35465
"Shetland Islands","2015",49053
"South Ayrshire","2015",43263
"South Lanarkshire","2015",41186
"Stirling","2015",40899
"West Dunbartonshire","2015",52394
"West Lothian","2015",40540
"Scotland","2016",45202
"Aberdeen City","2016",92835
"Aberdeenshire","2016",61409
"Angus","2016",45110
"Argyll and Bute","2016",37537
"City of Edinburgh","2016",46590
"Clackmannanshire","2016",45625
"Dumfries and Galloway","2016",38938
"Dundee City","2016",36126
"East Ayrshire","2016",31507
"East Dunbartonshire","2016",31992
"East Lothian","2016",44388
"East Renfrewshire","2016",28759
"Falkirk","2016",36487
"Fife","2016",45305
"Glasgow City","2016",35503
"Highland","2016",31932
"Inverclyde","2016",37963
"Midlothian","2016",39401
"Moray","2016",39403
"Na h-Eileanan Siar","2016",27087
"North Ayrshire","2016",41753
"North Lanarkshire","2016",43121
"Orkney Islands","2016",35281
"Perth and Kinross","2016",50179
"Renfrewshire","2016",41528
"Scottish Borders","2016",37271
"Shetland Islands","2016",45835
"South Ayrshire","2016",40098
"South Lanarkshire","2016",38093
"Stirling","2016",37322
"West Dunbartonshire","2016",52678
"West Lothian","2016",40761
"Scotland","2017",50906
"Aberdeen City","2017",119181
"Aberdeenshire","2017",67128
"Angus","2017",43493
"Argyll and Bute","2017",43264
"City of Edinburgh","2017",45573
"Clackmannanshire","2017",49040
"Dumfries and Galloway","2017",40486
"Dundee City","2017",35020
"East Ayrshire","2017",38413
"East Dunbartonshire","2017",35603
"East Lothian","2017",43836
"East Renfrewshire","2017",34390
"Falkirk","2017",44137
"Fife","2017",46219
"Glasgow City","2017",40500
"Highland","2017",41137
"Inverclyde","2017",44587
"Midlothian","2017",42219
"Moray","2017",48667
"Na h-Eileanan Siar","2017",37800
"North Ayrshire","2017",46140
"North Lanarkshire","2017",49717
"Orkney Islands","2017",48029
"Perth and Kinross","2017",48669
"Renfrewshire","2017",54969
"Scottish Borders","2017",44894
"Shetland Islands","2017",58905
"South Ayrshire","2017",43931
"South Lanarkshire","2017",42431
"Stirling","2017",42549
"West Dunbartonshire","2017",48806
"West Lothian","2017",45008
"Scotland","2018",52549
"Aberdeen City","2018",134763
"Aberdeenshire","2018",82308
"Angus","2018",43373
"Argyll and Bute","2018",45134
"City of Edinburgh","2018",45541
"Clackmannanshire","2018",48956
"Dumfries and Galloway","2018",39249
"Dundee City","2018",39050
"East Ayrshire","2018",42107
"East Dunbartonshire","2018",33563
"East Lothian","2018",38149
"East Renfrewshire","2018",35755
"Falkirk","2018",45842
"Fife","2018",44772
"Glasgow City","2018",40361
"Highland","2018",39285
"Inverclyde","2018",35682
"Midlothian","2018",39643
"Moray","2018",45019
"Na h-Eileanan Siar","2018",34863
"North Ayrshire","2018",46510
"North Lanarkshire","2018",51415
"Orkney Islands","2018",47877
"Perth and Kinross","2018",51834
"Renfrewshire","2018",51170
"Scottish Borders","2018",47529
"Shetland Islands","2018",54461
"South Ayrshire","2018",41816
"South Lanarkshire","2018",42943
"Stirling","2018",41806
"West Dunbartonshire","2018",58342
"West Lothian","2018",47836
