"Name","Year","blueorgreen"
"Na h-Eileanan Siar",2018,81.6
"North Ayrshire",2018,57.1
"North Lanarkshire",2018,61.7
"Orkney Islands",2018,62.2
"Perth and Kinross",2018,76.5
"Renfrewshire",2018,57.2
"Scottish Borders",2018,76.5
"Shetland Islands",2018,90.8
"South Ayrshire",2018,67
"South Lanarkshire",2018,63.8
"Stirling",2018,75
"West Dunbartonshire",2018,46.9
"West Lothian",2018,55.3
"Aberdeen City",2019,52.1
"Aberdeenshire",2019,63.1
"Angus",2019,65.5
"Argyll and Bute",2019,59.6
"Clackmannanshire",2019,78.1
"Dumfries and Galloway",2019,85
"Dundee City",2019,47.6
"East Ayrshire",2019,65.7
"East Dunbartonshire",2019,64
"East Lothian",2019,84
"East Renfrewshire",2019,54.2
"Edinburgh, City of",2019,69.2
"Falkirk",2019,65.9
"Fife",2019,77.4
"Glasgow City",2019,55.1
"Highland",2019,68.7
"Inverclyde",2019,51.1
"Midlothian",2019,77.9
"Moray",2019,75.8
"Na h-Eileanan Siar",2019,82.6
"North Ayrshire",2019,64.9
"North Lanarkshire",2019,60.7
"Orkney Islands",2019,49.8
"Perth and Kinross",2019,65.9
"Renfrewshire",2019,48
"Scottish Borders",2019,79.1
"Shetland Islands",2019,81.9
"South Ayrshire",2019,75.5
"South Lanarkshire",2019,63.5
"Stirling",2019,84.5
"West Dunbartonshire",2019,54.2
"West Lothian",2019,80.8
