"Date","LA Name","DAQI"
2012-01-07,"Dundee City",2
2012-01-07,"East Dunbartonshire",2
2012-01-07,"East Lothian",1
2012-01-07,"East Renfrewshire",3
2012-01-07,"Edinburgh, City of",2
2012-01-07,"Falkirk",1
2012-01-07,"Fife",1
2012-01-07,"Glasgow City",2
2012-01-07,"Highland",3
2012-01-07,"Inverclyde",1
2012-01-07,"Midlothian",3
2012-01-07,"North Ayrshire",2
2012-01-07,"North Lanarkshire",2
2012-01-07,"Perth and Kinross",2
2012-01-07,"Renfrewshire",2
2012-01-07,"Scottish Borders",3
2012-01-07,"Shetland Islands",3
2012-01-07,"South Ayrshire",2
2012-01-07,"South Lanarkshire",1
2012-01-07,"Stirling",1
2012-01-07,"West Dunbartonshire",1
2012-01-07,"West Lothian",1
2012-01-08,"Aberdeen City",2
2012-01-08,"Angus",1
2012-01-08,"Clackmannanshire",1
2012-01-08,"Dumfries and Galloway",2
2012-01-08,"Dundee City",2
2012-01-08,"East Dunbartonshire",1
2012-01-08,"East Lothian",1
2012-01-08,"East Renfrewshire",3
2012-01-08,"Edinburgh, City of",2
2012-01-08,"Falkirk",1
2012-01-08,"Fife",1
2012-01-08,"Glasgow City",2
2012-01-08,"Highland",3
2012-01-08,"Inverclyde",1
2012-01-08,"Midlothian",3
2012-01-08,"North Ayrshire",1
2012-01-08,"North Lanarkshire",1
2012-01-08,"Perth and Kinross",2
2012-01-08,"Renfrewshire",1
2012-01-08,"Scottish Borders",2
2012-01-08,"Shetland Islands",3
2012-01-08,"South Ayrshire",1
2012-01-08,"South Lanarkshire",2
2012-01-08,"Stirling",1
2012-01-08,"West Dunbartonshire",1
2012-01-08,"West Lothian",1
2012-01-09,"Aberdeen City",3
2012-01-09,"Angus",1
2012-01-09,"Clackmannanshire",1
2012-01-09,"Dumfries and Galloway",2
2012-01-09,"Dundee City",3
2012-01-09,"East Dunbartonshire",2
2012-01-09,"East Lothian",1
2012-01-09,"East Renfrewshire",3
2012-01-09,"Edinburgh, City of",3
2012-01-09,"Falkirk",2
2012-01-09,"Fife",2
2012-01-09,"Glasgow City",2
2012-01-09,"Highland",3
2012-01-09,"Inverclyde",1
2012-01-09,"Midlothian",2
2012-01-09,"North Ayrshire",2
2012-01-09,"North Lanarkshire",2
2012-01-09,"Perth and Kinross",3
2012-01-09,"Renfrewshire",3
2012-01-09,"Scottish Borders",2
2012-01-09,"Shetland Islands",3
