NAME,Year,Businesses
North Ayrshire,2013,283
North Ayrshire,2014,297
North Ayrshire,2015,305
North Ayrshire,2016,309
North Ayrshire,2017,318
North Ayrshire,2018,315
North Ayrshire,2019,315
North Ayrshire,2020,318
North Lanarkshire,2010,249
North Lanarkshire,2011,247
North Lanarkshire,2012,257
North Lanarkshire,2013,257
North Lanarkshire,2014,268
North Lanarkshire,2015,277
North Lanarkshire,2016,286
North Lanarkshire,2017,296
North Lanarkshire,2018,293
North Lanarkshire,2019,298
North Lanarkshire,2020,301
Orkney Islands,2010,870
Orkney Islands,2011,844
Orkney Islands,2012,852
Orkney Islands,2013,835
Orkney Islands,2014,858
Orkney Islands,2015,855
Orkney Islands,2016,835
Orkney Islands,2017,829
Orkney Islands,2018,839
Orkney Islands,2019,843
Orkney Islands,2020,821
Perth and Kinross,2010,517
Perth and Kinross,2011,504
Perth and Kinross,2012,509
Perth and Kinross,2013,505
Perth and Kinross,2014,512
Perth and Kinross,2015,516
Perth and Kinross,2016,514
Perth and Kinross,2017,520
Perth and Kinross,2018,522
Perth and Kinross,2019,519
Perth and Kinross,2020,516
Renfrewshire,2010,320
Renfrewshire,2011,313
Renfrewshire,2012,320
Renfrewshire,2013,320
Renfrewshire,2014,331
Renfrewshire,2015,335
Renfrewshire,2016,344
Renfrewshire,2017,348
Renfrewshire,2018,348
Renfrewshire,2019,350
Renfrewshire,2020,353
Scottish Borders,2010,552
Scottish Borders,2011,549
Scottish Borders,2012,557
Scottish Borders,2013,547
Scottish Borders,2014,560
Scottish Borders,2015,559
Scottish Borders,2016,558
Scottish Borders,2017,554
Scottish Borders,2018,551
Scottish Borders,2019,549
Scottish Borders,2020,547
Shetland Islands,2010,727
Shetland Islands,2011,727
Shetland Islands,2012,744
Shetland Islands,2013,756
Shetland Islands,2014,767
Shetland Islands,2015,786
Shetland Islands,2016,807
Shetland Islands,2017,830
Shetland Islands,2018,844
Shetland Islands,2019,839
Shetland Islands,2020,844
South Ayrshire,2010,394
South Ayrshire,2011,389
South Ayrshire,2012,394
South Ayrshire,2013,387
South Ayrshire,2014,394
South Ayrshire,2015,400
South Ayrshire,2016,410
South Ayrshire,2017,416
South Ayrshire,2018,409
South Ayrshire,2019,414
South Ayrshire,2020,404
South Lanarkshire,2010,325
South Lanarkshire,2011,318
South Lanarkshire,2012,326
South Lanarkshire,2013,323
South Lanarkshire,2014,338
South Lanarkshire,2015,346
South Lanarkshire,2016,354
South Lanarkshire,2017,361
South Lanarkshire,2018,360
South Lanarkshire,2019,365
South Lanarkshire,2020,364
Stirling,2010,536
Stirling,2011,530
Stirling,2012,536
Stirling,2013,529
Stirling,2014,542
Stirling,2015,544
Stirling,2016,546
Stirling,2017,541
