"NAME","Year","Value"
"Inverclyde",2009,21.5
"Midlothian",2009,15.1
"Moray",2009,13.2
"Na h-Eileanan Siar",2009,16.3
"North Ayrshire",2009,26.3
"North Lanarkshire",2009,22.4
"Orkney Islands",2009,9.5
"Perth and Kinross",2009,17.1
"Renfrewshire",2009,23.1
"Scottish Borders",2009,19
"Shetland Islands",2009,7
"South Ayrshire",2009,20.2
"South Lanarkshire",2009,18.6
"Stirling",2009,14.3
"West Dunbartonshire",2009,23.7
"West Lothian",2009,18.1
"Scotland",2009,20.3
"Aberdeen City",2010,13.6
"Aberdeenshire",2010,9.3
"Angus",2010,18.7
"Argyll and Bute",2010,19.3
"City of Edinburgh",2010,21.4
"Clackmannanshire",2010,18.6
"Dumfries and Galloway",2010,19.8
"Dundee City",2010,22.8
"East Ayrshire",2010,26.6
"East Dunbartonshire",2010,14.7
"East Lothian",2010,18.5
"East Renfrewshire",2010,16.8
"Falkirk",2010,20.4
"Fife",2010,20.5
"Glasgow City",2010,30.8
"Highland",2010,14.7
"Inverclyde",2010,24.3
"Midlothian",2010,18.5
"Moray",2010,11.3
"Na h-Eileanan Siar",2010,25.8
"North Ayrshire",2010,27.6
"North Lanarkshire",2010,23.6
"Orkney Islands",2010,9.5
"Perth and Kinross",2010,15.7
"Renfrewshire",2010,24.5
"Scottish Borders",2010,19.5
"Shetland Islands",2010,NA
"South Ayrshire",2010,22.6
"South Lanarkshire",2010,18.3
"Stirling",2010,15.2
"West Dunbartonshire",2010,25.7
"West Lothian",2010,21.9
"Scotland",2010,20.9
"Aberdeen City",2011,16.4
"Aberdeenshire",2011,10.3
"Angus",2011,16.9
"Argyll and Bute",2011,20.4
"City of Edinburgh",2011,19.4
"Clackmannanshire",2011,31.2
"Dumfries and Galloway",2011,22.3
"Dundee City",2011,23
"East Ayrshire",2011,26.2
"East Dunbartonshire",2011,14.6
"East Lothian",2011,19.1
"East Renfrewshire",2011,17
"Falkirk",2011,20.6
"Fife",2011,20.2
"Glasgow City",2011,28.8
"Highland",2011,15
"Inverclyde",2011,23.6
"Midlothian",2011,18.7
"Moray",2011,14.7
"Na h-Eileanan Siar",2011,26.5
"North Ayrshire",2011,30.1
"North Lanarkshire",2011,22.2
"Orkney Islands",2011,12.2
"Perth and Kinross",2011,14.5
"Renfrewshire",2011,24.9
"Scottish Borders",2011,16.8
"Shetland Islands",2011,7.7
"South Ayrshire",2011,21.9
"South Lanarkshire",2011,17.7
"Stirling",2011,16.1
"West Dunbartonshire",2011,25.9
"West Lothian",2011,18.5
"Scotland",2011,20.6
"Aberdeen City",2012,12.6
"Aberdeenshire",2012,12.6
"Angus",2012,18.4
"Argyll and Bute",2012,21.1
"City of Edinburgh",2012,19
"Clackmannanshire",2012,29
"Dumfries and Galloway",2012,24.2
"Dundee City",2012,24.1
"East Ayrshire",2012,25.7
"East Dunbartonshire",2012,15.4
"East Lothian",2012,18.6
"East Renfrewshire",2012,15.4
"Falkirk",2012,20.9
"Fife",2012,21.1
"Glasgow City",2012,30.3
"Highland",2012,16.1
"Inverclyde",2012,25.5
"Midlothian",2012,16.1
"Moray",2012,12.6
"Na h-Eileanan Siar",2012,21.6
"North Ayrshire",2012,28.1
"North Lanarkshire",2012,21.7
"Orkney Islands",2012,NA
"Perth and Kinross",2012,17
"Renfrewshire",2012,22.3
"Scottish Borders",2012,17.7
"Shetland Islands",2012,8.3
"South Ayrshire",2012,23
"South Lanarkshire",2012,14.7
"Stirling",2012,20
"West Dunbartonshire",2012,26.9
"West Lothian",2012,18.8
"Scotland",2012,20.7
"Aberdeen City",2013,12.8
"Aberdeenshire",2013,11.4
"Angus",2013,16.5
"Argyll and Bute",2013,19.4
"City of Edinburgh",2013,16.5
"Clackmannanshire",2013,25.5
"Dumfries and Galloway",2013,22.3
"Dundee City",2013,25.6
"East Ayrshire",2013,24.9
"East Dunbartonshire",2013,13.9
"East Lothian",2013,15.7
"East Renfrewshire",2013,15.6
"Falkirk",2013,18.9
"Fife",2013,18.3
"Glasgow City",2013,30
"Highland",2013,15
"Inverclyde",2013,23.8
"Midlothian",2013,20.8
"Moray",2013,13.5
"Na h-Eileanan Siar",2013,16.5
"North Ayrshire",2013,32.4
"North Lanarkshire",2013,21.7
"Orkney Islands",2013,14.8
"Perth and Kinross",2013,13.1
"Renfrewshire",2013,19.7
"Scottish Borders",2013,16.6
"Shetland Islands",2013,7.9
"South Ayrshire",2013,21.1
"South Lanarkshire",2013,19.6
"Stirling",2013,19.8
"West Dunbartonshire",2013,28.6
"West Lothian",2013,18
"Scotland",2013,20.1
"Aberdeen City",2014,13.4
"Aberdeenshire",2014,9.6
"Angus",2014,16.9
"Argyll and Bute",2014,15.4
"City of Edinburgh",2014,15.6
"Clackmannanshire",2014,24.6
"Dumfries and Galloway",2014,21.3
"Dundee City",2014,24.7
"East Ayrshire",2014,21.8
"East Dunbartonshire",2014,15.8
"East Lothian",2014,14.9
"East Renfrewshire",2014,13.9
"Falkirk",2014,19.5
"Fife",2014,17.4
"Glasgow City",2014,26.7
"Highland",2014,12.3
"Inverclyde",2014,22.1
"Midlothian",2014,14.1
"Moray",2014,14.5
"Na h-Eileanan Siar",2014,12.4
"North Ayrshire",2014,21.6
"North Lanarkshire",2014,19.6
"Orkney Islands",2014,10.3
"Perth and Kinross",2014,13.4
"Renfrewshire",2014,21.7
"Scottish Borders",2014,14.5
"Shetland Islands",2014,12.8
"South Ayrshire",2014,20.5
"South Lanarkshire",2014,16.5
"Stirling",2014,16
"West Dunbartonshire",2014,25.7
"West Lothian",2014,16.8
"Scotland",2014,18.3
"Aberdeen City",2015,15.3
"Aberdeenshire",2015,11.2
"Angus",2015,17.2
"Argyll and Bute",2015,15.9
"City of Edinburgh",2015,16.7
"Clackmannanshire",2015,15.8
"Dumfries and Galloway",2015,19
"Dundee City",2015,22.8
"East Ayrshire",2015,20.7
"East Dunbartonshire",2015,13.8
"East Lothian",2015,13.5
"East Renfrewshire",2015,15.1
"Falkirk",2015,19.2
"Fife",2015,17.1
"Glasgow City",2015,25.4
"Highland",2015,11.9
"Inverclyde",2015,26.6
"Midlothian",2015,15.1
"Moray",2015,15.7
"Na h-Eileanan Siar",2015,12.9
"North Ayrshire",2015,27
"North Lanarkshire",2015,19.6
"Orkney Islands",2015,NA
"Perth and Kinross",2015,11.4
"Renfrewshire",2015,20.4
"Scottish Borders",2015,16.7
"Shetland Islands",2015,NA
"South Ayrshire",2015,18.9
"South Lanarkshire",2015,12.4
"Stirling",2015,18.3
"West Dunbartonshire",2015,25.1
"West Lothian",2015,18.3
"Scotland",2015,18
"Aberdeen City",2016,17.6
"Aberdeenshire",2016,13.2
"Angus",2016,14.6
"Argyll and Bute",2016,15.4
"City of Edinburgh",2016,13.5
"Clackmannanshire",2016,20.8
"Dumfries and Galloway",2016,18
"Dundee City",2016,21.7
"East Ayrshire",2016,24.1
"East Dunbartonshire",2016,14.8
"East Lothian",2016,19.3
"East Renfrewshire",2016,12.4
"Falkirk",2016,16.3
"Fife",2016,19.2
"Glasgow City",2016,25
"Highland",2016,15.7
"Inverclyde",2016,25.1
"Midlothian",2016,18.2
"Moray",2016,17.1
"Na h-Eileanan Siar",2016,14
"North Ayrshire",2016,25.9
"North Lanarkshire",2016,17.7
"Orkney Islands",2016,9.9
"Perth and Kinross",2016,15.9
"Renfrewshire",2016,19.9
"Scottish Borders",2016,18
"Shetland Islands",2016,NA
"South Ayrshire",2016,19.7
"South Lanarkshire",2016,15.6
"Stirling",2016,17.3
"West Dunbartonshire",2016,22.2
"West Lothian",2016,17.9
"Scotland",2016,18.4
"Aberdeen City",2017,15.6
"Aberdeenshire",2017,12
"Angus",2017,15.6
"Argyll and Bute",2017,16.3
"City of Edinburgh",2017,14.5
"Clackmannanshire",2017,19.9
"Dumfries and Galloway",2017,15.7
"Dundee City",2017,25.9
"East Ayrshire",2017,23.4
"East Dunbartonshire",2017,13.2
"East Lothian",2017,13.7
"East Renfrewshire",2017,13
"Falkirk",2017,17.2
"Fife",2017,20.8
"Glasgow City",2017,24.7
"Highland",2017,11.1
"Inverclyde",2017,22.1
"Midlothian",2017,12.4
"Moray",2017,17.6
"Na h-Eileanan Siar",2017,13.9
"North Ayrshire",2017,24.4
"North Lanarkshire",2017,20.1
"Orkney Islands",2017,12.2
"Perth and Kinross",2017,15.3
"Renfrewshire",2017,16.1
"Scottish Borders",2017,17.2
"Shetland Islands",2017,12.6
"South Ayrshire",2017,19.7
"South Lanarkshire",2017,16.2
"Stirling",2017,17.2
"West Dunbartonshire",2017,22.8
"West Lothian",2017,14.6
"Scotland",2017,18
"Aberdeen City",2018,15.8
"Aberdeenshire",2018,9.9
"Angus",2018,17.1
"Argyll and Bute",2018,16.4
"City of Edinburgh",2018,12.4
"Clackmannanshire",2018,17.3
"Dumfries and Galloway",2018,19
"Dundee City",2018,25.2
"East Ayrshire",2018,24.5
"East Dunbartonshire",2018,12.8
"East Lothian",2018,10.2
"East Renfrewshire",2018,13.1
"Falkirk",2018,15.7
"Fife",2018,16.9
"Glasgow City",2018,25.6
"Highland",2018,10.6
"Inverclyde",2018,19.2
"Midlothian",2018,11.6
"Moray",2018,18
"Na h-Eileanan Siar",2018,15.9
"North Ayrshire",2018,21.8
"North Lanarkshire",2018,16
"Orkney Islands",2018,NA
"Perth and Kinross",2018,13.9
"Renfrewshire",2018,16.3
"Scottish Borders",2018,15.1
"Shetland Islands",2018,17.3
"South Ayrshire",2018,21.2
"South Lanarkshire",2018,15.8
"Stirling",2018,20
"West Dunbartonshire",2018,24.1
"West Lothian",2018,14.3
"Scotland",2018,17.1
"Aberdeen City",2019,16.1
"Aberdeenshire",2019,11.9
"Angus",2019,15.4
"Argyll and Bute",2019,19.2
"City of Edinburgh",2019,15.1
"Clackmannanshire",2019,20.6
"Dumfries and Galloway",2019,18.1
"Dundee City",2019,25.3
"East Ayrshire",2019,23
"East Dunbartonshire",2019,13.8
"East Lothian",2019,11.8
"East Renfrewshire",2019,14.3
"Falkirk",2019,20.3
"Fife",2019,17.3
"Glasgow City",2019,24.1
"Highland",2019,13.9
"Inverclyde",2019,23.9
"Midlothian",2019,12.4
"Moray",2019,13.6
"Na h-Eileanan Siar",2019,14.7
"North Ayrshire",2019,20.2
"North Lanarkshire",2019,17
"Orkney Islands",2019,NA
"Perth and Kinross",2019,12
"Renfrewshire",2019,18.2
"Scottish Borders",2019,16.3
"Shetland Islands",2019,NA
"South Ayrshire",2019,19.4
"South Lanarkshire",2019,15.5
"Stirling",2019,20.2
"West Dunbartonshire",2019,23.1
"West Lothian",2019,15.3
"Scotland",2019,17.7
"Aberdeen City",2020,15.3
"Aberdeenshire",2020,13
"Angus",2020,16.4
"Argyll and Bute",2020,14.7
"City of Edinburgh",2020,16
"Clackmannanshire",2020,18.5
"Dumfries and Galloway",2020,23.7
"Dundee City",2020,19.5
"East Ayrshire",2020,17.6
"East Dunbartonshire",2020,15.8
"East Lothian",2020,13.7
"East Renfrewshire",2020,18.4
"Falkirk",2020,18
"Fife",2020,23.3
"Glasgow City",2020,22.5
"Highland",2020,13.9
"Inverclyde",2020,22.1
"Midlothian",2020,13.5
"Moray",2020,15.5
"Na h-Eileanan Siar",2020,12.7
"North Ayrshire",2020,22.9
"North Lanarkshire",2020,21
"Orkney Islands",2020,NA
"Perth and Kinross",2020,13.5
"Renfrewshire",2020,16.5
"Scottish Borders",2020,12.4
"Shetland Islands",2020,9.8
"South Ayrshire",2020,19.9
"South Lanarkshire",2020,17.7
"Stirling",2020,14.6
"West Dunbartonshire",2020,19
"West Lothian",2020,15.3
"Scotland",2020,18.1
