NAME,Year,Businesses
East Lothian,2017,3510
East Renfrewshire,2000,2255
East Renfrewshire,2001,2255
East Renfrewshire,2002,2245
East Renfrewshire,2003,2220
East Renfrewshire,2004,2200
East Renfrewshire,2005,2175
East Renfrewshire,2006,2195
East Renfrewshire,2007,2270
East Renfrewshire,2008,2350
East Renfrewshire,2009,2380
East Renfrewshire,2010,2430
East Renfrewshire,2011,2420
East Renfrewshire,2012,2555
East Renfrewshire,2013,2575
East Renfrewshire,2014,2705
East Renfrewshire,2015,2780
East Renfrewshire,2016,2865
East Renfrewshire,2017,2975
Falkirk,2000,3785
Falkirk,2001,3825
Falkirk,2002,3785
Falkirk,2003,3785
Falkirk,2004,3875
Falkirk,2005,3810
Falkirk,2006,3855
Falkirk,2007,3905
Falkirk,2008,3995
Falkirk,2009,4005
Falkirk,2010,4025
Falkirk,2011,4015
Falkirk,2012,4130
Falkirk,2013,4185
Falkirk,2014,4355
Falkirk,2015,4435
Falkirk,2016,4540
Falkirk,2017,4575
Fife,2000,9830
Fife,2001,9800
Fife,2002,9830
Fife,2003,9860
Fife,2004,9890
Fife,2005,9725
Fife,2006,9725
Fife,2007,9905
Fife,2008,10170
Fife,2009,10135
Fife,2010,10185
Fife,2011,10015
Fife,2012,10305
Fife,2013,10190
Fife,2014,10560
Fife,2015,10815
Fife,2016,11020
Fife,2017,11390
Glasgow City,2000,19315
Glasgow City,2001,19460
Glasgow City,2002,19370
Glasgow City,2003,19200
Glasgow City,2004,19305
Glasgow City,2005,19105
Glasgow City,2006,19390
Glasgow City,2007,19635
Glasgow City,2008,19785
Glasgow City,2009,19890
Glasgow City,2010,19960
Glasgow City,2011,19785
Glasgow City,2012,20320
Glasgow City,2013,20290
Glasgow City,2014,21125
Glasgow City,2015,21635
Glasgow City,2016,22265
Glasgow City,2017,23120
Highland,2000,11540
Highland,2001,11595
Highland,2002,11675
Highland,2003,11500
Highland,2004,11765
Highland,2005,11640
Highland,2006,11630
Highland,2007,12025
Highland,2008,12030
Highland,2009,12100
Highland,2010,12145
Highland,2011,11990
Highland,2012,12290
Highland,2013,12300
Highland,2014,12565
Highland,2015,12670
Highland,2016,12770
Highland,2017,12830
Inverclyde,2000,1835
Inverclyde,2001,1810
Inverclyde,2002,1815
Inverclyde,2003,1805
Inverclyde,2004,1800
Inverclyde,2005,1785
Inverclyde,2006,1795
Inverclyde,2007,1865
Inverclyde,2008,1925
Inverclyde,2009,1895
Inverclyde,2010,1865
Inverclyde,2011,1840
Inverclyde,2012,1915
Inverclyde,2013,1895
Inverclyde,2014,1950
Inverclyde,2015,1985
Inverclyde,2016,2050
Inverclyde,2017,2075
Midlothian,2000,2075
Midlothian,2001,2105
Midlothian,2002,2135
Midlothian,2003,2155
Midlothian,2004,2185
Midlothian,2005,2165
Midlothian,2006,2255
Midlothian,2007,2320
Midlothian,2008,2330
Midlothian,2009,2310
Midlothian,2010,2320
Midlothian,2011,2310
Midlothian,2012,2365
Midlothian,2013,2380
Midlothian,2014,2465
Midlothian,2015,2565
Midlothian,2016,2640
Midlothian,2017,2745
Moray,2000,3540
Moray,2001,3560
Moray,2002,3560
Moray,2003,3555
Moray,2004,3530
Moray,2005,3460
Moray,2006,3525
Moray,2007,3605
Moray,2008,3605
Moray,2009,3615
Moray,2010,3630
Moray,2011,3585
Moray,2012,3640
Moray,2013,3640
Moray,2014,3675
Moray,2015,3730
Moray,2016,3800
Moray,2017,3820
Na h-Eileanan Siar,2000,1410
Na h-Eileanan Siar,2001,1365
Na h-Eileanan Siar,2002,1325
Na h-Eileanan Siar,2003,1270
Na h-Eileanan Siar,2004,1285
Na h-Eileanan Siar,2005,1285
Na h-Eileanan Siar,2006,1285
Na h-Eileanan Siar,2007,1290
Na h-Eileanan Siar,2008,1270
Na h-Eileanan Siar,2009,1285
Na h-Eileanan Siar,2010,1260
Na h-Eileanan Siar,2011,1210
Na h-Eileanan Siar,2012,1270
Na h-Eileanan Siar,2013,1270
Na h-Eileanan Siar,2014,1305
Na h-Eileanan Siar,2015,1365
Na h-Eileanan Siar,2016,1350
Na h-Eileanan Siar,2017,1345
North Ayrshire,2000,3695
North Ayrshire,2001,3650
North Ayrshire,2002,3635
North Ayrshire,2003,3595
North Ayrshire,2004,3600
North Ayrshire,2005,3550
North Ayrshire,2006,3570
North Ayrshire,2007,3630
North Ayrshire,2008,3610
North Ayrshire,2009,3620
North Ayrshire,2010,3560
North Ayrshire,2011,3460
North Ayrshire,2012,3560
North Ayrshire,2013,3520
North Ayrshire,2014,3690
North Ayrshire,2015,3780
North Ayrshire,2016,3805
North Ayrshire,2017,3935
North Lanarkshire,2000,7145
North Lanarkshire,2001,7220
North Lanarkshire,2002,7300
North Lanarkshire,2003,7185
North Lanarkshire,2004,7220
North Lanarkshire,2005,7155
North Lanarkshire,2006,7270
North Lanarkshire,2007,7530
North Lanarkshire,2008,7710
North Lanarkshire,2009,7680
North Lanarkshire,2010,7660
North Lanarkshire,2011,7615
North Lanarkshire,2012,7895
North Lanarkshire,2013,7925
North Lanarkshire,2014,8345
North Lanarkshire,2015,8580
North Lanarkshire,2016,8870
North Lanarkshire,2017,9185
Orkney Islands,2000,1745
