NAME,Year,wplearning
Dumfries and Galloway,2007,16.7
Dumfries and Galloway,2007,16.7
Dumfries and Galloway,2008,19.9
Dumfries and Galloway,2008,19.9
Dumfries and Galloway,2009,18.2
Dumfries and Galloway,2009,18.2
Dumfries and Galloway,2010,15
Dumfries and Galloway,2010,15
Dumfries and Galloway,2011,12.3
Dumfries and Galloway,2011,12.3
Dumfries and Galloway,2012,13.6
Dumfries and Galloway,2012,13.6
Dumfries and Galloway,2013,13.1
Dumfries and Galloway,2013,13.1
Dumfries and Galloway,2014,13.9
Dumfries and Galloway,2014,13.9
Dumfries and Galloway,2015,15.8
Dumfries and Galloway,2015,15.8
Dumfries and Galloway,2016,17.9
Dumfries and Galloway,2016,17.9
Dumfries and Galloway,2017,17.8
Dumfries and Galloway,2017,17.8
Dumfries and Galloway,2018,16.6
Dumfries and Galloway,2018,16.6
Dundee City,2004,20.6
Dundee City,2004,20.6
Dundee City,2005,21.8
Dundee City,2005,21.8
Dundee City,2006,21.7
Dundee City,2006,21.7
Dundee City,2007,23.4
Dundee City,2007,23.4
Dundee City,2008,22.9
Dundee City,2008,22.9
Dundee City,2009,22.2
Dundee City,2009,22.2
Dundee City,2010,23.3
Dundee City,2010,23.3
Dundee City,2011,19.1
Dundee City,2011,19.1
Dundee City,2012,19.4
Dundee City,2012,19.4
Dundee City,2013,17.3
Dundee City,2013,17.3
Dundee City,2014,17.6
Dundee City,2014,17.6
Dundee City,2015,17.9
Dundee City,2015,17.9
Dundee City,2016,15.9
Dundee City,2016,15.9
Dundee City,2017,12.6
Dundee City,2017,12.6
Dundee City,2018,16.7
Dundee City,2018,16.7
East Ayrshire,2004,19.6
East Ayrshire,2004,19.6
East Ayrshire,2005,18.2
East Ayrshire,2005,18.2
East Ayrshire,2006,21.5
East Ayrshire,2006,21.5
East Ayrshire,2007,19.7
East Ayrshire,2007,19.7
East Ayrshire,2008,20.2
East Ayrshire,2008,20.2
East Ayrshire,2009,19.2
East Ayrshire,2009,19.2
East Ayrshire,2010,23.7
East Ayrshire,2010,23.7
East Ayrshire,2011,18.8
East Ayrshire,2011,18.8
East Ayrshire,2012,21
East Ayrshire,2012,21
East Ayrshire,2013,20.3
East Ayrshire,2013,20.3
