NAME,Year,wplearning
West Dunbartonshire,2018,12.9
West Dunbartonshire,2018,12.9
West Lothian,2004,23.5
West Lothian,2004,23.5
West Lothian,2005,22.7
West Lothian,2005,22.7
West Lothian,2006,24.4
West Lothian,2006,24.4
West Lothian,2007,20.7
West Lothian,2007,20.7
West Lothian,2008,18.5
West Lothian,2008,18.5
West Lothian,2009,18.1
West Lothian,2009,18.1
West Lothian,2010,17.1
West Lothian,2010,17.1
West Lothian,2011,18.8
West Lothian,2011,18.8
West Lothian,2012,16.7
West Lothian,2012,16.7
West Lothian,2013,23.2
West Lothian,2013,23.2
West Lothian,2014,27.3
West Lothian,2014,27.3
West Lothian,2015,21.9
West Lothian,2015,21.9
West Lothian,2016,14.9
West Lothian,2016,14.9
West Lothian,2017,15.5
West Lothian,2017,15.5
West Lothian,2018,16.7
West Lothian,2018,16.7
