NAME,Year,Value
South Lanarkshire,2018,25
Stirling,2018,37.1
West Dunbartonshire,2018,11.8
West Lothian,2018,31.2
Aberdeen City,2019,19.5
Aberdeenshire,2019,29.1
Angus,2019,30.7
Argyll and Bute,2019,17.7
Clackmannanshire,2019,32.5
Dumfries and Galloway,2019,20.8
Dundee City,2019,19.2
East Ayrshire,2019,30.9
East Dunbartonshire,2019,27.3
East Lothian,2019,24.1
East Renfrewshire,2019,33.2
City of Edinburgh,2019,28.6
Falkirk,2019,26.3
Fife,2019,26
Glasgow City,2019,24.1
Highland,2019,26.3
Inverclyde,2019,19.2
Midlothian,2019,26.8
Moray,2019,29.7
Na h-Eileanan Siar,2019,26.1
North Ayrshire,2019,27
North Lanarkshire,2019,23.3
Orkney Islands,2019,34.4
Perth and Kinross,2019,32
Renfrewshire,2019,21.4
Scotland,2019,26
Scottish Borders,2019,36
Shetland Islands,2019,47.4
South Ayrshire,2019,18.8
South Lanarkshire,2019,22.7
Stirling,2019,44.4
West Dunbartonshire,2019,20.4
West Lothian,2019,28.3
