Year,Value
1998, 87.5
1999,89.6
2000,92.6
2001,91.5
2002,94.6
2003,98
2004,101.1
2005,99.7
2006,100.5
2007,100
2008,100.8
2009,102.8
2010,107.3
2011,106.3
2012,106.4
2013,106.4
2014,106.6
2015,108.4
2016,107.4
2017,106.7
2018,110.1
2019,110.7
