Year,Value
1998,83.08
1999,79.45
2000,80.85
2001,82.50
2002,82.59
2003,84.09
2004,88.23
2005,90.42
2006,95.44
2007,97.74
2008,91.56
2009,82.00
2010,82.66
2011,80.23
2012,79.64
2013,77.22
2014,76.48
2015,76.47
