Year,Value
2004,76.70
2005,76.90
2006,77.35
2007,77.85
2008,77.63
2009,77.45
2010,76.95
2011,76.93
2012,76.85
2013,76.70
2014,77.35
2015,77.70
2016,76.95
2017,77.10
2018,77.58
2019,77.83
