Year,Value
1997,26.5
1998,25.8
1999,24.6
2000,25.3
2001,25
2002,25
2003,22.2
2004,21.3
2005,17.9
2006,19.8
2007,20.4
2008,17.7
2009,17.7
2010,17.3
2011,16.6
2012,17.6
2013,17.5
2014,17.6
2015,17.1
2016,15.6
2017,16
2018,15
2019,14.3
