Year,Value
2000,16450 
2001,12602 
2002,11020 
2003,13049 
2004,11425 
2005,19148 
2006,22848 
2007,20625 
2008,32880 
2009,17960 
2010,20609 
2011,23692 
2012,18640 
2013,13356 
2014,7733 
2015,1435 
2016,3578 
2017,7086 
