Year,Value
2007,76.00
2008,77.50
2009,78.40
2010,78.00
2011,77.20
2012,77.16
2013,78.06
2014,78.79
2015,79.34
2016,80.42
2017,80.30
2018,79.68
2019,78.88
2020,78.76
2021,78.27
