Year,Value
2001,55.98
2002,55.70
2003,55.41
2004,55.12
2005,54.96
2006,54.60
2007,54.42
2008,54.52
2009,54.81
2010,54.88
2011,55.04
2012,56.30
2013,56.99
2014,57.85
2015,58.36
2016,58.99
2017,59.61
2018,60.31
