Country,Value
Sweden,1.96
Lithuania,4.37
Romania,4.54
Croatia,4.64
Hungary,5.9
Latvia,6.06
Slovakia,6.32
Slovenia,6.38
France,6.82
Finland,6.94
Italy,7.06
Spain,7.32
Scotland,7.47
Bulgaria,7.52
United Kingdom,7.69
Portugal ,8.16
EU-28,8.29
Austria,9.08
Greece,9.55
Denmark,9.57
Poland,9.76
Germany,11.24
Czech Republic,11.84
Cyprus,12.47
Belgium,1.258
Estonia,13.54
Netherlands,14.56
Ireland,14.69
Malta,16.9
Luxembourg,19.62
