Year,Value
1997,18.4
1998,19.1
1999,16.7
2000,18.1
2001,17.1
2002,15.7
2003,13.2
2004,11.7
2005,9
2006,10.6
2007,11.9
2008,10.8
2009,8.5
2010,7.4
2011,6.6
2012,8.4
2013,7.7
2014,9.1
2015,7.7
2016,6.4
2017,6.6
2018,5.6
2019,7.1
