Year,Value
2004,17.1
2005,15
2006,13.6
2007,8
2008,12.9
2009,14.2
2010,13
2011,9.1
2012,11.5
2013,14.8
2014,12.6
2015,14.2
2016,15.5
2017,13.8
2018,19.7
2019,16.4
2020,9.7
