Year,Value
2004,30.1
2005,28.6
2006,27.9
2007,28.7
2008,27.1
2009,26
2010,24
2011,24.5
2012,24.8
2014,31.1
2015,31.2
2016,30.2
2017,28.9
2018,28.5
