Year,Value
2004,12.5
2005,13.3
2006,13
2007,12.3
2008,13.6
2009,16.6
2010,18.5
2011,21.8
2012,20.5
2013,20.5
2014,17.1
2015,14.4
2016,11.8
2017,9.2
2018,9.6
2019,8.3
2020,13.2
